"--large-name1--","StoreDefinition(String,String,SerializerDefinition,SerializerDefinition,SerializerDefinition,RoutingTier,String,int,Integer,int,Integer,int,String,String,HashMap<Integer,Integer>,Integer,Integer,Integer,Integer,String,Boolean,String,Integer)"
"--large-name6--","StoreDefinition(String,String,String,SerializerDefinition,SerializerDefinition,SerializerDefinition,RoutingTier,String,int,Integer,int,Integer,int,String,String,HashMap<Integer,Integer>,Integer,Integer,Integer,Integer,String,HintedHandoffStrategyType,Integer,List<String>,long)"
"--large-name3--","StoreDefinition(String,String,String,SerializerDefinition,SerializerDefinition,SerializerDefinition,RoutingTier,String,int,Integer,int,Integer,int,String,String,HashMap<Integer,Integer>,Integer,Integer,Integer,Integer,String,HintedHandoffStrategyType,Integer)"
"--large-name2--","StoreDefinition(String,String,SerializerDefinition,SerializerDefinition,SerializerDefinition,RoutingTier,String,int,Integer,int,Integer,int,String,String,HashMap<Integer,Integer>,Integer,Integer,Integer,Integer,String,HintedHandoffStrategyType,Integer)"
"--large-name9--","PipelineRoutedStore(Map<Integer,Store<ByteArray,byte[],byte[]>>,Map<Integer,NonblockingStore>,Map<Integer,Store<ByteArray,Slop,byte[]>>,Map<Integer,NonblockingStore>,Cluster,StoreDefinition,FailureDetector,boolean,TimeoutConfig,int,boolean,int)"
"--large-name12--","PipelineRoutedStore(Map<Integer,Store<ByteArray,byte[],byte[]>>,Map<Integer,NonblockingStore>,Map<Integer,Store<ByteArray,Slop,byte[]>>,Map<Integer,NonblockingStore>,Cluster,StoreDefinition,FailureDetector,boolean,TimeoutConfig,int,boolean,PipelineRoutedStats,ZoneAffinity)"
"--large-name7--","StoreDefinition(String,String,String,SerializerDefinition,SerializerDefinition,SerializerDefinition,RoutingTier,String,int,Integer,int,Integer,int,String,String,HashMap<Integer,Integer>,Integer,Integer,Integer,Integer,Integer,String,HintedHandoffStrategyType,Integer,List<String>,long)"
"--large-name5--","PipelineRoutedStore(String,Map<Integer,Store<ByteArray,byte[],byte[]>>,Map<Integer,NonblockingStore>,Map<Integer,Store<ByteArray,Slop,byte[]>>,Map<Integer,NonblockingStore>,Cluster,StoreDefinition,boolean,int,TimeoutConfig,FailureDetector,boolean)"
"--large-name10--","PipelineRoutedStore(Map<Integer,Store<ByteArray,byte[],byte[]>>,Map<Integer,NonblockingStore>,Map<Integer,Store<ByteArray,Slop,byte[]>>,Map<Integer,NonblockingStore>,Cluster,StoreDefinition,FailureDetector,boolean,TimeoutConfig,int,boolean,int,ZoneAffinity)"
"--large-name11--","PipelineRoutedStore(Map<Integer,Store<ByteArray,byte[],byte[]>>,Map<Integer,NonblockingStore>,Map<Integer,Store<ByteArray,Slop,byte[]>>,Map<Integer,NonblockingStore>,Cluster,StoreDefinition,FailureDetector,boolean,TimeoutConfig,int,boolean,String,ZoneAffinity)"
"--large-name8--","PipelineRoutedStore(String,Map<Integer,Store<ByteArray,byte[],byte[]>>,Map<Integer,NonblockingStore>,Map<Integer,Store<ByteArray,Slop,byte[]>>,Map<Integer,NonblockingStore>,Cluster,StoreDefinition,boolean,int,TimeoutConfig,FailureDetector,boolean,int)"
"--large-name4--","StoreDefinition(String,String,String,SerializerDefinition,SerializerDefinition,SerializerDefinition,RoutingTier,String,int,Integer,int,Integer,int,String,String,HashMap<Integer,Integer>,Integer,Integer,Integer,Integer,String,HintedHandoffStrategyType,Integer,List<String>)"
